Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,modularity_class,eigencentrality,clustering,triangles
16922,16922,,{'scopus_id': 57192640472},"{'full_name': 'Nikolai, Poliakov'}",{'department': '[208] кафедра электротехники и прецизионных электромеханических систем'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[208] кафедра электротехники и прецизионных электромеханических систем'},1,4,1,1,1,0,0.001104,12,28,0.000558,0,0
16923,16923,,{'scopus_id': 55539096700},"{'full_name': 'Girsova, M. A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'I. V. Grebenshchikov Institute of Silicate Chemistry of the Russian Academy of Sciences'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},5,32,8,0.205646,0.216616,0,0.000801,0,7,0.009456,1,10
16925,16925,,{'scopus_id': 6602468796},"{'full_name': 'Anfimova, I. N.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'I. V. Grebenshchikov Institute of Silicate Chemistry of the Russian Academy of Sciences'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},5,20,8,0.205646,0.216616,0,0.000801,0,7,0.009456,1,10
16926,16926,,{'scopus_id': 7003405885},"{'full_name': 'Antropova, T. V.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'I. V. Grebenshchikov Institute of Silicate Chemistry of the Russian Academy of Sciences'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},5,20,8,0.205646,0.216616,0,0.000801,0,7,0.009456,1,10
16927,16927,,{'scopus_id': 56323503800},"{'full_name': 'Permyakov, D. V.'}",{'department': '[519] кафедра фотоники и оптоинформатики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер-исследователь'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[519] кафедра фотоники и оптоинформатики'},10,36,6,0.293505,0.324418,2234.596272,0.00104,0,1,0.168572,0.466667,21
16928,16928,,{'scopus_id': 56321151700},"{'full_name': 'Velichko, Elena N.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},9,47,6,0.279709,0.309389,2100.04514,0.001078,0,1,0.15206,0.5,18
16929,16929,,{'scopus_id': 56321138400},"{'full_name': 'Grishentsev, Aleksey'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},3,12,7,0.220396,0.23452,0,0.000576,0,1,0.009996,1,3
16930,16930,,{'scopus_id': 56321472500},"{'full_name': 'Korikov, Konstantin'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Peter the Great St. Petersburg Polytechnic University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},3,12,7,0.220396,0.23452,0,0.000576,0,1,0.009996,1,3
16932,16932,,{'scopus_id': 24401638000},"{'full_name': 'Staude, Isabelle'}",{'department': nan},{'country': 'Australia'},{'university': 'The Australian National University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Australia'},{'itmo_depart_and_others': 'Australia'},15,80,6,0.287513,0.317613,4643.950516,0.001446,0,3,0.170934,0.457143,48
16933,16933,,{'scopus_id': 36173394500},"{'full_name': 'Sreenivasan, Varun K.A.'}",{'department': nan},{'country': 'Australia'},{'university': 'Macquarie University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Australia'},{'itmo_depart_and_others': 'Australia'},8,28,6,0.271967,0.297771,0,0.000754,0,17,0.138371,1,28
16934,16934,,{'scopus_id': 7005635336},"{'full_name': 'Zvyagin, Andrei V.'}",{'department': nan},{'country': 'Australia'},{'university': 'Macquarie University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Australia'},{'itmo_depart_and_others': 'Australia'},8,60,6,0.271967,0.297771,0,0.000754,0,17,0.138371,1,28
16935,16935,,{'scopus_id': 56315861300},"{'full_name': 'Pavlenko, Nikita A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},14,39,6,0.27897,0.309684,5842.442234,0.001409,0,32,0.154708,0.373626,34
16936,16936,,{'scopus_id': 55804271200},"{'full_name': 'Turgalieva, Tatyana V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},7,34,7,0.26673,0.289459,3230.767997,0.000932,0,1,0.059501,0.52381,11
