Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles
9999,9999,,{'scopus_id': 6603516253},"{'full_name': 'Tsenter, Marina'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'S.I. Vavilov State Optical Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},11,44,8,0.250054,0.267163,0,0,31,1,55
10000,10000,,{'scopus_id': 57199835321},"{'full_name': 'Bachina, Anastasia'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'S.I. Vavilov State Optical Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},11,44,8,0.250054,0.267163,0,0,31,1,55
10001,10001,,{'scopus_id': 56888708200},"{'full_name': 'Khubetsov, Alexander'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'S.I. Vavilov State Optical Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},11,44,8,0.250054,0.267163,0,0,31,1,55
10002,10002,,{'scopus_id': 56801868900},"{'full_name': 'Vilejshikova, Elena'}",{'department': nan},{'country': 'Belarus'},{'university': 'Belarusian National Technical University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Belarus'},{'itmo_depart_and_others': 'Belarus'},11,44,8,0.250054,0.267163,0,0,31,1,55
10003,10003,,{'scopus_id': 56801381300},"{'full_name': 'Petrov, Pavel'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},11,44,8,0.250054,0.267163,0,0,31,1,55
10005,10005,,{'scopus_id': 51763942900},"{'full_name': 'Miliukhina, Irina V.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Institute of Experimental Medicine of the North-West Branch of the Russian Academy of Medical Sciences'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},5,27,8,0.202398,0.211999,0,0,6,1,10
10011,10011,,{'scopus_id': 57200527927},"{'full_name': 'Dmitriev, Dmitry S.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'LLC “S.P. Helpic”'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},13,69,7,0.264882,0.283867,0,0,0,1,78
10012,10012,,{'scopus_id': 57028556700},"{'full_name': 'Kozachenko, Alexander V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},13,48,7,0.264882,0.283867,0,0,0,1,78
10013,10013,,{'scopus_id': 56012481900},"{'full_name': 'Efimtcev, Alexander Y.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},13,48,7,0.264882,0.283867,0,0,0,1,78
10017,10017,,{'scopus_id': 56204398400},"{'full_name': 'Kurochkina, Margarita'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},2,8,9,0.196206,0.203808,0,0,1,1,1
10020,10020,,{'scopus_id': 57193683610},"{'full_name': 'Silant’ev, V. E.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Institute of Chemistry FEB RAS'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},6,32,8,0.223368,0.235275,0,0,29,1,15
10021,10021,,{'scopus_id': 56587711400},"{'full_name': 'Abdelsalam, H.'}",{'department': nan},{'country': 'Egypt'},{'university': 'National Research Centre'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Egypt'},{'itmo_depart_and_others': 'Egypt'},10,48,7,0.245719,0.260428,3112.435091,0,29,0.466667,21
10023,10023,,{'scopus_id': 56150938200},"{'full_name': 'Lukyanchuk, I.'}",{'department': nan},{'country': 'France'},{'university': 'Laboratoire de Physique de la Matière Condensée (LPMC)'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'France'},{'itmo_depart_and_others': 'France'},4,12,7,0.23253,0.244189,0,0,10,1,6
