Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles,eigencentrality
6641,6641,,{'scopus_id': 7201779543},"{'full_name': 'Polyakov, Andrey'}",{'department': '[761] факультет систем управления и робототехники'},{'country': 'France'},{'university': 'Université de Lille'},{'position': 'старший научный сотрудник'},{'total_pub': 17},{'itmo_and_others': 'France'},{'itmo_depart_and_others': 'France'},28,109,8,0.256874,0.278858,24314.938904,0,5,0.150794,57,0.057119
6680,6680,,{'scopus_id': 15925268000},"{'full_name': 'Kotenko, Igor'}",{'department': '[763] факультет безопасности информационных технологий'},{'country': 'Russian Federation'},{'university': 'St. Petersburg Federal Research Center of the Russian Academy of Sciences'},{'position': 'ведущий научный сотрудник'},{'total_pub': 17},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},29,104,8,0.267587,0.28993,36879.070817,0,0,0.14532,59,0.062478
6282,6282,,{'scopus_id': 36616700800},"{'full_name': 'Ushakova, E. V.'}",{'department': '[720] факультет фотоники'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 16},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[720] факультет фотоники'},86,331,7,0.298439,0.335086,65119.677653,0,34,0.188235,688,0.651225
6283,6283,,{'scopus_id': 26531130700},"{'full_name': 'Dubavik, A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 16},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},62,299,7,0.304491,0.337461,41892.345054,0,34,0.240613,455,0.55121
6351,6351,,{'scopus_id': 6701588481},"{'full_name': 'Gladyshev, A. G.'}",{'department': '[157] научно-исследовательский центр перспективных функциональных материалов и лазерных коммуникационных систем'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 16},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[157] научно-исследовательский центр перспективных функциональных материалов и лазерных коммуникационных систем'},61,449,8,0.28888,0.321065,24086.929624,0,8,0.363934,666,0.683834
6540,6540,,{'scopus_id': 14061225700},"{'full_name': 'Shalin, Alexander S.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 15},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},66,283,7,0.314267,0.349369,98954.888616,0,5,0.153846,330,0.448734
6631,6631,,{'scopus_id': 8046819200},"{'full_name': 'Bobtsov, Alexey'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 15},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},39,140,8,0.260325,0.282127,32761.310462,0,5,0.14305,106,0.067187
7004,7004,,{'scopus_id': 56800405100},"{'full_name': 'Koshelev, Kirill'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 15},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},39,178,8,0.289288,0.317305,16856.681076,0,22,0.242915,180,0.264539
7050,7050,,{'scopus_id': 56131789500},"{'full_name': 'Shalyto, Anatoly'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 15},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},54,202,7,0.287116,0.315362,124919.70011,0,38,0.177498,254,0.157344
7106,7106,,{'scopus_id': 56196347700},"{'full_name': 'Glybovski, S.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 15},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},56,249,8,0.267787,0.295939,18683.201626,0,5,0.202597,312,0.276792
