Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,modularity_class,clustering,triangles
12240,12240,,{'scopus_id': 55346107800},"{'full_name': 'Purcell-Milton, Finn'}",{'department': nan},{'country': 'Ireland'},{'university': 'Trinity College Dublin'},{'position': nan},{'total_pub': 5},{'itmo_and_others': 'Ireland'},{'itmo_depart_and_others': 'Ireland'},21,91,7,0.288358,0.316241,5505.470628,0.000693,0,13,0.514286,108
12271,12271,,{'scopus_id': 57194346455},"{'full_name': 'Sinelnik, Artem D.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},29,190,7,0.298286,0.329116,13557.184295,0.000865,0,3,0.295567,120
12291,12291,,{'scopus_id': 16643987700},"{'full_name': 'Parfenov, Peter S.'}",{'department': '[518] кафедра оптической физики и современного естествознания'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[518] кафедра оптической физики и современного естествознания'},22,58,7,0.285208,0.312182,11283.420066,0.00086,0,13,0.255411,59
12306,12306,,{'scopus_id': 7005423662},"{'full_name': 'Neelov, I. M.'}",{'department': '[229] кафедра информационных технологий топливно-энергетического комплекса'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[229] кафедра информационных технологий топливно-энергетического комплекса'},9,32,7,0.248841,0.264477,3162.756935,0.000533,0,24,0.333333,12
12348,12348,,{'scopus_id': 7004659203},"{'full_name': 'Panchuk, Vitaly'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},16,54,7,0.269531,0.291094,3898.337578,0.000685,0,11,0.433333,52
12401,12401,,{'scopus_id': 55782919700},"{'full_name': 'Balbekin, N. S.'}","{'department': '[150] международный научный центр оптической и квантовой информатики, биофотоники'}",{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'itmo_depart_and_others': '[150] международный научный центр оптической и квантовой информатики, биофотоники'}",24,72,7,0.264368,0.287493,22580.210698,0.001126,0,39,0.293478,81
12419,12419,,{'scopus_id': 36970158800},"{'full_name': 'Popov, A. I.'}",{'department': '[200] кафедра высшей математики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'ассистент'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[200] кафедра высшей математики'},5,16,8,0.227508,0.240936,1988.972693,0.000345,0,21,0.3,3
12438,12438,,{'scopus_id': 55412016500},"{'full_name': 'Ignatiev, A. I.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},11,37,7,0.260799,0.2793,786.246515,0.000514,0,7,0.436364,24
12517,12517,,{'scopus_id': 56938815200},"{'full_name': 'Lavrentyeva, Galina'}",{'department': '[231] кафедра речевых информационных систем (базовая)'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[231] кафедра речевых информационных систем (базовая)'},11,52,8,0.218428,0.231529,2264.615826,0.00062,0,8,0.509091,28
12541,12541,,{'scopus_id': 56020051200},"{'full_name': 'Gladskikh, I. A.'}","{'department': '[425] центр ""Информационные оптические технологии""'}",{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'itmo_depart_and_others': '[425] центр ""Информационные оптические технологии""'}",20,97,6,0.281756,0.303925,6684.730895,0.000785,0,39,0.363158,69
12552,12552,,{'scopus_id': 6701352061},"{'full_name': 'Bulat, L. P.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},15,80,7,0.245489,0.26344,9673.725213,0.000795,0,11,0.352381,37
12793,12793,,{'scopus_id': 55247072700},"{'full_name': 'Maslov, Vladimir G.'}","{'department': '[425] центр ""Информационные оптические технологии""'}",{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'ведущий научный сотрудник'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'itmo_depart_and_others': '[425] центр ""Информационные оптические технологии""'}",16,71,7,0.261966,0.285573,284.334151,0.000555,0,13,0.583333,70
12844,12844,,{'scopus_id': 54883307800},"{'full_name': 'Chugunov, Andrei V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},11,30,7,0.238548,0.256495,6149.087745,0.000636,0,30,0.272727,15
12959,12959,,{'scopus_id': 56572767000},"{'full_name': 'Olekhnovich, Roman Olegovich'}",{'department': '[281] кафедра сенсорики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 5},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[281] кафедра сенсорики'},15,44,7,0.228964,0.246038,6430.596095,0.00098,0,39,0.238095,25
11490,11490,,{'scopus_id': 56709555600},"{'full_name': 'Yermakov, Oleh'}",{'department': '[277] кафедра нанофотоники и метаматериалов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 4},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[277] кафедра нанофотоники и метаматериалов'},16,67,7,0.29255,0.317763,901.656339,0.000503,0,0,0.6,72
11510,11510,,{'scopus_id': 12778911000},"{'full_name': 'Pidko, Evgeny A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 4},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},23,71,7,0.295052,0.323323,1045.571739,0.00069,0,0,0.577075,146
11513,11513,,{'scopus_id': 57195619795},"{'full_name': 'Sayanskiy, A.'}",{'department': '[277] кафедра нанофотоники и метаматериалов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 4},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[277] кафедра нанофотоники и метаматериалов'},11,47,7,0.281838,0.304884,155.701769,0.0004,0,0,0.581818,32
11531,11531,,{'scopus_id': 7004901392},"{'full_name': 'Konotop, Vladimir V.'}",{'department': nan},{'country': 'Portugal'},"{'university': 'Faculdade de Ciências, Universidade de Lisboa'}",{'position': nan},{'total_pub': 4},{'itmo_and_others': 'Portugal'},{'itmo_depart_and_others': 'Portugal'},11,32,7,0.239791,0.256719,5149.587669,0.000634,0,6,0.218182,12
11569,11569,,{'scopus_id': 37013178900},"{'full_name': ""Emel'Yantsev, G.""}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 4},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},10,49,8,0.202643,0.213602,1236.102404,0.000606,0,5,0.666667,30
11571,11571,,{'scopus_id': 51162175200},"{'full_name': 'Stepanov, A.'}",{'department': '[109] кафедра информационно-навигационных систем (базовая)'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 4},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[109] кафедра информационно-навигационных систем (базовая)'},10,49,8,0.202643,0.213602,1236.102404,0.000606,0,5,0.666667,30
11572,11572,,{'scopus_id': 55520032400},"{'full_name': 'Blazhnov, B.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'JSC'},{'position': nan},{'total_pub': 4},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},10,49,8,0.202643,0.213602,1236.102404,0.000606,0,5,0.666667,30
11587,11587,,{'scopus_id': 25822520600},"{'full_name': 'Karabchevsky, Alina'}",{'department': nan},{'country': 'Israel'},{'university': 'Scientific Practical Materials Research Centre of NAS of Belarus'},{'position': nan},{'total_pub': 4},{'itmo_and_others': 'Israel'},{'itmo_depart_and_others': 'Israel'},8,61,7,0.263287,0.282589,139.652647,0.000319,0,2,0.821429,23
11589,11589,,{'scopus_id': 56937163200},"{'full_name': 'Li, Sergey V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 4},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},14,41,6,0.284788,0.309739,698.889787,0.00047,0,0,0.461538,42
11597,11597,,{'scopus_id': 7101633032},"{'full_name': 'Nikulin, Anton V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 4},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},28,84,6,0.297185,0.325302,1646.486323,0.000828,0,0,0.402116,152
11622,11622,,{'scopus_id': 57192592402},"{'full_name': 'Vovk, Tatiana A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 4},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},9,33,8,0.235323,0.249869,3210.680797,0.000516,0,5,0.472222,17
11626,11626,,{'scopus_id': 7004506568},"{'full_name': 'Perlin, Evgeniy Y.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 4},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},11,37,7,0.252022,0.267756,5969.11114,0.000584,0,5,0.4,22
