Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,clustering,triangles,componentnumber
184,184,,{'scopus_id': 35573748100},"{'full_name': 'Kirilenko, D. A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Ioffe Institute'},{'position': nan},{'total_pub': 16},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},101,311,6,0.316899,0.357725,153800.177266,0.522191,1,0.146931,742,0
840,840,,{'scopus_id': 7202793493},"{'full_name': 'Ortega, Romeo'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 16},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},40,137,7,0.266007,0.292375,37348.796486,0.058561,10,0.142308,111,0
18,18,,{'scopus_id': 7202658480},"{'full_name': 'Novikov, I. I.'}",{'department': '[840] лаборатория однофотонных детекторов и генераторов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 15},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[840] лаборатория однофотонных детекторов и генераторов'},59,440,6,0.294378,0.326794,19179.565331,0.378547,2,0.355348,608,0
19,19,,{'scopus_id': 6603558355},"{'full_name': 'Karachinsky, L. Ya'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 15},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},62,444,6,0.293852,0.326967,21264.633578,0.386604,2,0.338445,640,0
54,54,,{'scopus_id': 6701588481},"{'full_name': 'Gladyshev, A. G.'}",{'department': '[840] лаборатория однофотонных детекторов и генераторов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 15},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[840] лаборатория однофотонных детекторов и генераторов'},66,526,6,0.296124,0.330049,23530.208153,0.405337,2,0.319814,686,0
331,331,,{'scopus_id': 11639741200},"{'full_name': 'Ginzburg, Pavel'}",{'department': '[768] физический факультет'},{'country': 'Israel'},{'university': 'Tel Aviv University'},{'position': 'старший научный сотрудник'},{'total_pub': 15},{'itmo_and_others': 'Israel'},{'itmo_depart_and_others': 'Israel'},57,300,7,0.301618,0.33435,47034.887073,0.281814,5,0.22619,361,0
342,342,,{'scopus_id': 22981610200},"{'full_name': 'Skorb, Ekaterina V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 15},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},73,208,6,0.305307,0.34023,117015.650826,0.190395,29,0.125951,331,0
352,352,,{'scopus_id': 56817049300},"{'full_name': 'Zyuzin, Mikhail V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 15},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},57,228,7,0.305407,0.338898,49746.074352,0.260782,4,0.18985,303,0
608,608,,{'scopus_id': 57195776935},"{'full_name': 'Frizyuk, Kristina'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 15},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},43,227,6,0.301131,0.330079,13413.641172,0.234205,35,0.24474,221,0
24,24,,{'scopus_id': 7202362169},"{'full_name': 'Egorov, A. Yu'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 14},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},61,421,6,0.295748,0.328737,20272.110591,0.385503,2,0.342623,627,0
