Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stat_inf_class,eigencentrality,clustering,triangles,componentnumber,modularity_class
5254,5254,,{'scopus_id': 57217025738},"{'full_name': 'Ali, Ammar'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,15,8,0.203789,0.212553,0,0,0.005045,1,6,0,31
5255,5255,,{'scopus_id': 57191364432},"{'full_name': 'Druzhinin, Nikita'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},6,20,8,0.203814,0.212853,16.33015,0,0.007147,0.8,12,0,31
5256,5256,,{'scopus_id': 57192381307},"{'full_name': 'Govorov, Anton'}",{'department': '[725] факультет инфокоммуникационных технологий'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'position': 'ассистент (квалификационная категория ""ассистент"")'}",{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[725] факультет инфокоммуникационных технологий'},4,16,9,0.183484,0.190481,0,0,0.003115,1,6,0,19
5257,5257,,{'scopus_id': 57216814718},"{'full_name': 'Chernysheva, Anastasiia'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,16,9,0.183484,0.190481,0,0,0.003115,1,6,0,19
5258,5258,,{'scopus_id': 57216859958},"{'full_name': 'Derkunskaia, Svetlana'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,21,9,0.183484,0.190481,0,0,0.003115,1,6,0,19
5259,5259,,{'scopus_id': 57216869154},"{'full_name': 'Arzumanian, Anna'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,16,9,0.183484,0.190481,0,0,0.003115,1,6,0,19
5260,5260,,{'scopus_id': 57216867688},"{'full_name': 'Pachkouski, Kanstantsin'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,24,8,0.218368,0.228754,0,0,0.006094,1,6,0,20
5261,5261,,{'scopus_id': 57215589055},"{'full_name': 'Rzhevskiy, Vyacheslav'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,21,8,0.218368,0.228754,0,0,0.006094,1,6,0,20
5262,5262,,{'scopus_id': 37160901200},"{'full_name': 'Ansari, Fazel'}",{'department': nan},{'country': 'Austria'},{'university': 'Technische Universität Wien'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Austria'},{'itmo_depart_and_others': 'Austria'},2,8,9,0.191596,0.198457,0,0,0.002078,1,1,0,31
5265,5265,,{'scopus_id': 16021827600},"{'full_name': 'Golubeva, T. Yu'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint Petersburg State University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},5,16,9,0.208781,0.218025,0,0,0.005451,1,10,0,31
5266,5266,,{'scopus_id': 7005154894},"{'full_name': 'Golubev, Yu M.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint Petersburg State University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},5,16,9,0.208781,0.218025,0,0,0.005451,1,10,0,31
5267,5267,,{'scopus_id': 7003380163},"{'full_name': 'Nesterov, L. A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Ioffe Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},5,21,9,0.208781,0.218025,0,0,0.005451,1,10,0,31
5268,5268,,{'scopus_id': 55813819100},"{'full_name': 'Okrugin, Boris M.'}",{'department': nan},{'country': 'Spain'},{'university': 'CIC biomaGUNE'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Spain'},{'itmo_depart_and_others': 'Spain'},22,150,8,0.241394,0.257586,11255.519007,0,0.046577,0.34632,80,0,3
5269,5269,,{'scopus_id': 7401789185},"{'full_name': 'Richter, Ralf P.'}",{'department': nan},{'country': 'Spain'},{'university': 'CIC biomaGUNE'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Spain'},{'itmo_depart_and_others': 'Spain'},6,20,8,0.21781,0.229331,0,0,0.008597,1,15,0,7
