Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,modularity_class,clustering,triangles,eigencentrality
15272,15272,,{'scopus_id': 6507078272},"{'full_name': 'Lukyanov, G. N.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,16,7,0.231077,0.245746,0,0.000512,0,12,1,6,0.009784
15273,15273,,{'scopus_id': 14056763000},"{'full_name': 'Rassadina, A. A.'}",{'department': '[281] кафедра сенсорики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[281] кафедра сенсорики'},4,21,7,0.231077,0.245746,0,0.000512,0,12,1,6,0.009784
15276,15276,,{'scopus_id': 56602886200},"{'full_name': 'Belousov, K. I.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,16,7,0.26323,0.280872,0,0.000369,0,5,1,6,0.034602
15278,15278,,{'scopus_id': 56095920700},"{'full_name': 'Komissarenko, F. E.'}",{'department': '[277] кафедра нанофотоники и метаматериалов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[277] кафедра нанофотоники и метаматериалов'},5,16,7,0.270892,0.290592,0,0.000469,0,5,1,10,0.038091
15279,15279,,{'scopus_id': 57035361700},"{'full_name': 'Kozubov, Anton V.'}",{'department': '[519] кафедра фотоники и оптоинформатики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[519] кафедра фотоники и оптоинформатики'},6,28,7,0.270956,0.291025,1153,0.000641,0,5,0.666667,10,0.03856
15280,15280,,{'scopus_id': 6505914990},"{'full_name': 'Chivilikhin, Sergey A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},1,4,8,0.21323,0.222418,0,0.000216,0,5,0,0,0.002124
15281,15281,,{'scopus_id': 57035360300},"{'full_name': 'Zablotsky, S. V.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Ioffe Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},8,28,7,0.238331,0.254783,847.227965,0.000721,0,12,0.571429,16,0.021857
15284,15284,,{'scopus_id': 35554154800},"{'full_name': 'Marin, D. V.'}",{'department': nan},{'country': 'Russian Federation'},"{'university': 'Institute of Semiconductor Physics, Siberian Branch, Russian Academy of Sciences'}",{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},6,24,7,0.2321,0.247724,0,0.00051,0,12,1,15,0.020222
15287,15287,,{'scopus_id': 57213898028},"{'full_name': 'Levchenko, A. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},2,4,8,0.219267,0.229918,0,0.000295,0,12,1,1,0.00333
15291,15291,,{'scopus_id': 57188667440},"{'full_name': 'Nyriev, R. K.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,24,7,0.246951,0.264702,0,0.00038,0,4,1,6,0.028128
