Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,clustering,triangles
17485,17485,,{'scopus_id': 55356346200},"{'full_name': 'Feskov, Alexey D.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},10,51,0,8,0.211904,0.247489,0,0.065534,9,1,45
17486,17486,,{'scopus_id': 55355689600},"{'full_name': 'Vlasov, Sergey M.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},10,36,0,8,0.211904,0.247489,0,0.065534,9,1,45
17487,17487,,{'scopus_id': 55355811700},"{'full_name': 'Krasnov, Alexandr Y.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},10,36,0,8,0.211904,0.247489,0,0.065534,9,1,45
17488,17488,,{'scopus_id': 53985334000},"{'full_name': 'Shavetov, Sergey V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},11,84,0,8,0.214212,0.252332,10.507534,0.069919,9,0.927273,51
17489,17489,,{'scopus_id': 7006432485},"{'full_name': 'Kolobov, A. V.'}",{'department': nan},{'country': 'Japan'},{'university': 'National Institute of Advanced Industrial Science and Technology'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Japan'},{'itmo_depart_and_others': 'Japan'},10,40,0,7,0.236676,0.273821,682.380257,0.058156,9,0.533333,24
17490,17490,,{'scopus_id': 7005183201},"{'full_name': 'Tominaga, J.'}",{'department': nan},{'country': 'Japan'},{'university': 'National Institute of Advanced Industrial Science and Technology'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Japan'},{'itmo_depart_and_others': 'Japan'},3,12,0,7,0.22593,0.246823,0,0.01185,9,1,3
17491,17491,,{'scopus_id': 26221381000},"{'full_name': 'Rodríguez Fortuño, F. J.'}",{'department': nan},{'country': 'United Kingdom'},"{'university': ""King's College London""}",{'position': nan},{'total_pub': 1},{'itmo_and_others': 'United Kingdom'},{'itmo_depart_and_others': 'United Kingdom'},17,85,0,7,0.283071,0.337271,1109.961266,0.350916,22,0.794118,108
17492,17492,,{'scopus_id': 6601950645},"{'full_name': 'Wurtz, G. A.'}",{'department': nan},{'country': 'United Kingdom'},"{'university': ""King's College London""}",{'position': nan},{'total_pub': 1},{'itmo_and_others': 'United Kingdom'},{'itmo_depart_and_others': 'United Kingdom'},15,56,0,7,0.279621,0.329886,0,0.341398,22,1,105
17493,17493,,{'scopus_id': 7005683502},"{'full_name': 'Dickson, W.'}",{'department': nan},{'country': 'United Kingdom'},"{'university': ""King's College London""}",{'position': nan},{'total_pub': 1},{'itmo_and_others': 'United Kingdom'},{'itmo_depart_and_others': 'United Kingdom'},15,56,0,7,0.279621,0.329886,0,0.341398,22,1,105
17494,17494,,{'scopus_id': 35194230600},"{'full_name': 'Murphy, A.'}",{'department': nan},{'country': 'United Kingdom'},"{'university': ""Queen's University Belfast""}",{'position': nan},{'total_pub': 1},{'itmo_and_others': 'United Kingdom'},{'itmo_depart_and_others': 'United Kingdom'},15,56,0,7,0.279621,0.329886,0,0.341398,22,1,105
